sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
;1;Session genius.core.session.Session@11438d26 failed: failed to construct agent : Execution failed of init<HardHeaded@21,Participant[Party21,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[group21.Agent21, agents.anac.y2011.HardHeaded];12s;No;;0;;;;;;Agent21;HardHeaded;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@7a1ebcd8 failed: failed to construct agent : Execution failed of init<HardHeaded@23,Participant[Party23,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[negotiator.parties.ConcederNegotiationParty, agents.anac.y2011.HardHeaded];12s;No;;0;;;;;;ConcederNegotiationParty;HardHeaded;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@528931cf failed: failed to construct agent : Execution failed of init<IAMhaggler2012@24,Participant[Party24,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[agents.anac.y2012.IAMhaggler2012, agents.anac.y2011.HardHeaded];12s;No;;0;;;;;;IAMhaggler2012;HardHeaded;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@1563da5 failed: failed to construct agent : Execution failed of init<HardHeaded@26,Participant[Party26,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[agents.anac.y2011.HardHeaded, agents.anac.y2012.IAMhaggler2012];12s;No;;0;;;;;;HardHeaded;IAMhaggler2012;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@30a3107a failed: failed to construct agent : Execution failed of init<IAMhaggler2012@29,Participant[Party29,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[negotiator.parties.BoulwareNegotiationParty, agents.anac.y2012.IAMhaggler2012];12s;No;;0;;;;;;BoulwareNegotiationParty;IAMhaggler2012;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
7.250;410;;12s;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;Agent21@30;BoulwareNegotiationParty@31;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
1.408;5444;;12s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@32;BoulwareNegotiationParty@33;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;1;Session genius.core.session.Session@17d677df failed: failed to construct agent : Execution failed of init<IAMhaggler2012@34,Participant[Party34,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2012.IAMhaggler2012. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2012.IAMhaggler2012: agents.anac.y2012.IAMhaggler2012:[agents.anac.y2012.IAMhaggler2012, negotiator.parties.BoulwareNegotiationParty];12s;No;;0;;;;;;IAMhaggler2012;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@78e67e0a failed: failed to construct agent : Execution failed of init<HardHeaded@36,Participant[Party36,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party1_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[agents.anac.y2011.HardHeaded, negotiator.parties.BoulwareNegotiationParty];12s;No;;0;;;;;;HardHeaded;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
;1;Session genius.core.session.Session@2f943d71 failed: failed to construct agent : Execution failed of init<HardHeaded@39,Participant[Party39,genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded,etc/templates/partydomain/party2_utility.xml]>:genius.core.session.RepositoryException: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load genius.core.exceptions.InstantiateException: failed to load class from  agents.anac.y2011.HardHeaded. This is caused by missing/damaged basic configuration xml files from Genius.: failed to load class from  agents.anac.y2011.HardHeaded: agents.anac.y2011.HardHeaded:[negotiator.parties.BoulwareNegotiationParty, agents.anac.y2011.HardHeaded];12s;No;;0;;;;;;BoulwareNegotiationParty;HardHeaded;0.0;0.0;0.0;0.0;;;;;;;party1_utility;party2_utility
