sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.047;51;;60rounds;Yes;No;2;0.67250;0.69869;0.20961;0.25593;1.37119;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;0.6725;0.69869077026364;0.6725;0.69869077026364;0.6725;0.69869077026364;0.0;0.0;0.6725;0.69869077026364;party1_utility.xml;party2_utility.xml
0.008;10;;60rounds;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@2;BoulwareNegotiationParty@3;0.6583333333333333;1.0;0.6583333333333333;1.0;0.6583333333333333;1.0;0.0;0.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
0.902;44;;60rounds;Yes;No;2;0.77250;0.86383;0.04218;0.06594;1.63633;Agent21@4;BoulwareNegotiationParty@5;0.7725;0.863825759227598;0.7725;0.863825759227598;0.7725;0.863825759227598;0.0;0.0;0.7725;0.863825759227598;party1_utility.xml;party2_utility.xml
0.015;30;;60rounds;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@6;ConcederNegotiationParty@7;0.975;0.49464690002105177;0.975;0.49464690002105177;0.975;0.49464690002105177;0.0;0.0;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
0.003;6;;60rounds;Yes;No;2;0.74667;0.77847;0.12816;0.15492;1.52513;ConcederNegotiationParty@8;ConcederNegotiationParty@9;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.7466666666666668;0.7784676281352214;0.0;0.0;0.7466666666666668;0.7784676281352214;party1_utility.xml;party2_utility.xml
0.361;13;;60rounds;Yes;No;2;0.66621;0.94167;0.00000;0.30558;1.60787;Agent21@10;ConcederNegotiationParty@11;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.9416666666666667;0.6662075599338653;0.0;0.0;0.9416666666666667;0.6662075599338653;party1_utility.xml;party2_utility.xml
1.067;54;;60rounds;Yes;No;2;0.54917;0.68138;0.32439;0.34164;1.23054;BoulwareNegotiationParty@12;Agent21@13;0.5491666666666667;0.6813762970912411;0.5491666666666667;0.6813762970912411;0.5491666666666667;0.6813762970912411;0.0;0.0;0.5491666666666667;0.6813762970912411;party1_utility.xml;party2_utility.xml
0.299;8;;60rounds;Yes;No;2;0.70917;0.95971;0.02068;0.08198;1.66888;ConcederNegotiationParty@14;Agent21@15;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.7091666666666667;0.9597117522430285;0.0;0.0;0.7091666666666667;0.9597117522430285;party1_utility.xml;party2_utility.xml
1.746;39;;60rounds;Yes;No;2;0.78591;0.81500;0.07806;0.14578;1.60091;Agent21@16;Agent21@17;0.815;0.785905062151012;0.815;0.785905062151012;0.815;0.785905062151012;0.0;0.0;0.815;0.785905062151012;party1_utility.xml;party2_utility.xml
